dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
mnist,63,2,35,81.14,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.02, 0.9]",9,50,1274,0.99,99.29,99.33,62.42,691.84,59.96,2712266,288.09
mnist,64,2,35,89.194,"['0.058', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.006, 0.9]",9,50,1274,0.99,99.28,99.32,63.41,692.31,58.46,2712266,288.89
mnist,65,2,35,38.043,"['0.053', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.06, 0.75]",9,50,1323,0.99,99.25,99.31,64.4,692.3,57.39,2712266,290.59
mnist,66,2,35,86.575,"['0.061', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.02, 0.9]",9,50,1421,0.99,99.27,99.3,65.4,692.11,60.74,2712266,292.62
mnist,67,2,35,74.028,"['0.054', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.007, 0.8]",9,50,1421,0.99,99.22,99.28,66.39,691.76,61.17,2712266,293.39
mnist,68,2,35,53.385,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.008, 0.75]",9,50,1568,0.99,99.27,99.28,67.38,691.71,60.05,2712266,295.9
mnist,69,2,35,75.36,"['0.055', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.001, 0.95]",9,50,1617,0.99,99.27,99.28,68.37,691.95,59.41,2712266,297.2
mnist,70,2,35,119.489,"['0.063', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.03, 0.85]",9,50,1617,0.98,98.18,99.06,69.35,695.05,64.39,2712266,297.98
mnist,71,2,35,83.81,"['0.060', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.003, 0.85]",9,50,147,0.99,99.24,99.24,70.35,691.99,60.31,2712266,303.52
mnist,72,2,35,74.08,"['0.060', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.003, 0.75]",9,50,392,0.99,99.27,99.28,71.34,691.95,59.62,2712266,307.23
