dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
fashion_mst,66,2,35,97.408,"['0.072', '0.050', '0.050', '0.078']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,441,0.9,89.6,89.71,57.6,711.87,160.46,2712266,320.88
fashion_mst,67,2,35,69.975,"['0.062', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.09, 0.9]",9,50,441,0.88,87.83,89.33,58.47,707.03,158.09,2712266,321.7
fashion_mst,68,2,35,120.979,"['0.066', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.06, 0.7]",9,50,441,0.85,85.13,88.49,59.33,722.22,213.99,2712266,322.56
fashion_mst,69,2,35,99.976,"['0.073', '0.050', '0.050', '0.080']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.9]",9,50,490,0.88,87.81,88.46,60.2,718.7,256.96,2712266,323.98
fashion_mst,70,2,35,109.128,"['0.061', '0.050', '0.050', '0.061']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.06, 0.85]",9,50,1127,0.9,89.68,89.8,61.1,712.72,191.27,2712266,332.81
fashion_mst,71,2,35,47.646,"['0.057', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.02, 0.75]",9,50,98,0.91,91.1,91.19,62.01,707.61,140.8,2712266,343.73
fashion_mst,72,2,35,126.257,"['0.068', '0.050', '0.050', '0.071']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.09, 0.7]",9,50,98,0.85,84.7,89.89,62.86,721.44,240.05,2712266,344.58
fashion_mst,73,2,35,99.099,"['0.064', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.25, 0.002, 0.95]",9,50,980,0.91,91.29,91.32,63.77,707.93,148.01,2712266,356.58
fashion_mst,74,2,35,155.575,"['0.070', '0.050', '0.050', '0.074']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.05, 0.9]",9,50,980,0.85,85.19,90.09,64.62,722.33,254.13,2712266,357.43
fashion_mst,75,2,35,129.835,"['0.068', '0.050', '0.050', '0.070']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.002, 0.7]",9,50,196,0.91,91.04,91.1,65.53,707.66,142.04,2712266,371.28
